frame	type	cpu_addr	value	tracked_ppu_addr
6	PPUDATA	2007	00	210A
6	PPUDATA	2007	00	210B
6	PPUDATA	2007	00	210C
6	PPUDATA	2007	00	210D
6	PPUDATA	2007	00	210E
6	PPUDATA	2007	00	210F
6	PPUDATA	2007	00	2110
6	PPUDATA	2007	00	2111
6	PPUDATA	2007	00	2112
6	PPUDATA	2007	00	2113
6	PPUDATA	2007	00	2114
6	PPUDATA	2007	00	2115
6	PPUDATA	2007	00	2116
6	PPUDATA	2007	00	2117
6	PPUDATA	2007	00	2118
6	PPUDATA	2007	00	2119
6	PPUDATA	2007	00	211A
6	PPUDATA	2007	00	211B
6	PPUDATA	2007	00	211C
6	PPUDATA	2007	00	211D
6	PPUDATA	2007	00	211E
6	PPUDATA	2007	00	211F
6	PPUDATA	2007	00	2120
6	PPUDATA	2007	00	2121
6	PPUDATA	2007	00	2122
6	PPUDATA	2007	00	2123
6	PPUDATA	2007	00	2124
6	PPUDATA	2007	00	2125
6	PPUDATA	2007	00	2126
6	PPUDATA	2007	00	2127
6	PPUDATA	2007	00	2128
6	PPUDATA	2007	00	2129
6	PPUDATA	2007	00	212A
6	PPUDATA	2007	00	212B
6	PPUDATA	2007	00	212C
6	PPUDATA	2007	00	212D
6	PPUDATA	2007	00	212E
6	PPUDATA	2007	00	212F
6	PPUDATA	2007	00	2130
6	PPUDATA	2007	00	2131
6	PPUDATA	2007	00	2132
6	PPUDATA	2007	00	2133
6	PPUDATA	2007	00	2134
6	PPUDATA	2007	00	2135
6	PPUDATA	2007	00	2136
6	PPUDATA	2007	00	2137
6	PPUDATA	2007	00	2138
6	PPUDATA	2007	00	2139
6	PPUDATA	2007	00	213A
6	PPUDATA	2007	00	213B
6	PPUDATA	2007	00	213C
6	PPUDATA	2007	00	213D
6	PPUDATA	2007	00	213E
6	PPUDATA	2007	00	213F
6	PPUDATA	2007	00	2140
6	PPUDATA	2007	00	2141
6	PPUDATA	2007	00	2142
6	PPUDATA	2007	00	2143
6	PPUDATA	2007	00	2144
6	PPUDATA	2007	00	2145
6	PPUDATA	2007	00	2146
6	PPUDATA	2007	00	2147
6	PPUDATA	2007	00	2148
6	PPUDATA	2007	00	2149
6	PPUDATA	2007	00	214A
6	PPUDATA	2007	00	214B
6	PPUDATA	2007	00	214C
6	PPUDATA	2007	00	214D
6	PPUDATA	2007	00	214E
6	PPUDATA	2007	00	214F
6	PPUDATA	2007	00	2150
6	PPUDATA	2007	00	2151
6	PPUDATA	2007	00	2152
6	PPUDATA	2007	00	2153
6	PPUDATA	2007	00	2154
6	PPUDATA	2007	00	2155
