frame	phase	route	buttons	writes
2160	inject	select_right_a	B	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2220	inject	menu_left_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2280	inject	menu_left_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2340	inject	menu_left_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2400	inject	menu_left_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2460	inject	menu_left_a	left	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2520	inject	start_up_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2580	route	start_up_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2640	route	start_up_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2700	route	start_up_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2760	route	start_up_a	B	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2820	route	start_down_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2880	route	start_down_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2940	route	start_down_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
