frame	vram_addr	byte	phase	nt	tile_row	tile_col
6	$2095	00	1	0	4	21
6	$2096	00	1	0	4	22
6	$2097	00	1	0	4	23
6	$2098	00	1	0	4	24
6	$2099	00	1	0	4	25
6	$209A	00	1	0	4	26
6	$209B	00	1	0	4	27
6	$209C	00	1	0	4	28
6	$209D	00	1	0	4	29
6	$209E	00	1	0	4	30
6	$209F	00	1	0	4	31
6	$20A0	00	1	0	5	0
6	$20A1	00	1	0	5	1
6	$20A2	00	1	0	5	2
6	$20A3	00	1	0	5	3
6	$20A4	00	1	0	5	4
6	$20A5	00	1	0	5	5
6	$20A6	00	1	0	5	6
6	$20A7	00	1	0	5	7
6	$20A8	00	1	0	5	8
6	$20A9	00	1	0	5	9
6	$20AA	00	1	0	5	10
6	$20AB	00	1	0	5	11
6	$20AC	00	1	0	5	12
6	$20AD	00	1	0	5	13
6	$20AE	00	1	0	5	14
6	$20AF	00	1	0	5	15
6	$20B0	00	1	0	5	16
6	$20B1	00	1	0	5	17
6	$20B2	00	1	0	5	18
6	$20B3	00	1	0	5	19
6	$20B4	00	1	0	5	20
6	$20B5	00	1	0	5	21
6	$20B6	00	1	0	5	22
6	$20B7	00	1	0	5	23
6	$20B8	00	1	0	5	24
6	$20B9	00	1	0	5	25
6	$20BA	00	1	0	5	26
6	$20BB	00	1	0	5	27
6	$20BC	00	1	0	5	28
6	$20BD	00	1	0	5	29
6	$20BE	00	1	0	5	30
6	$20BF	00	1	0	5	31
6	$20C0	00	1	0	6	0
6	$20C1	00	1	0	6	1
6	$20C2	00	1	0	6	2
6	$20C3	00	1	0	6	3
